                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.48936,                0.34094,                 1.0914,                0.90405,                0.79617,                0.92098,                0.76696,                 1.0163,                0.66091,                   1.21,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.52752,                0.37067,                 1.1379,                0.88856,                0.79794,                0.91878,                0.76798,                  1.004,                0.67027,                 1.2146,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.40674,                0.32537,                0.97049,                0.88856,                0.79794,                0.91878,                0.76798,                  1.004,                0.67027,                 1.2146,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.55022,                0.29895,                 1.1945,                0.86966,                 0.7996,                0.91479,                0.76494,                 1.0224,                0.70885,                 1.2247,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 0.5282,                 0.4452,                 1.0977,                0.86966,                 0.7996,                0.91479,                0.76494,                 1.0224,                0.70885,                 1.2247,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.57194,                0.53365,                 1.1527,                0.86999,                0.79973,                0.91352,                0.76374,                 1.0697,                0.74721,                 1.2449,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.66549,                0.58251,                 1.2967,                0.86999,                0.79973,                0.91352,                0.76374,                 1.0697,                0.74721,                 1.2449,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 0.5307,                0.40167,                 1.0259,                0.80292,                0.80915,                0.91007,                0.74389,                 1.0831,                0.79716,                 1.2496,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.61496,                0.64008,                 1.2397,                0.80292,                0.80915,                0.91007,                0.74389,                 1.0831,                0.79716,                 1.2496,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.58805,                0.45093,                 1.1173,                0.72165,                0.81667,                0.90623,                0.74212,                 1.0945,                0.85076,                 1.2555,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.54996,                0.41505,                 1.1432,                0.72165,                0.81667,                0.90623,                0.74212,                 1.0945,                0.85076,                 1.2555,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 0.6305,                0.45629,                 1.1546,                0.68979,                0.81667,                  0.902,                 0.7366,                 1.0992,                0.89984,                 1.2519,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.30888,                0.24226,                0.84476,                0.68979,                0.81667,                  0.902,                 0.7366,                 1.0992,                0.89984,                 1.2519,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.30919,                0.27542,                0.94231,                0.64245,                0.82534,                 0.9015,                0.73754,                 1.0969,                 0.9448,                 1.2488,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.33501,                0.30643,                0.95253,                0.64245,                0.82534,                 0.9015,                0.73754,                 1.0969,                 0.9448,                 1.2488,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.35427,                0.28803,                0.92812,                0.64409,                0.84975,                 0.8994,                0.75275,                 1.0981,                 1.0009,                 1.2454,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.50133,                0.34832,                  1.061,                0.64409,                0.84975,                 0.8994,                0.75275,                 1.0981,                 1.0009,                 1.2454,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.65869,                 0.4551,                 1.2818,                0.62378,                0.86667,                0.89862,                0.77268,                 1.0867,                 1.0387,                 1.2423,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.39013,                0.27487,                 1.0396,                0.62378,                0.86667,                0.89862,                0.77268,                 1.0867,                 1.0387,                 1.2423,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.39412,                0.37803,                0.99742,                0.61655,                0.86667,                0.89478,                0.75658,                 1.0847,                  1.066,                 1.2441,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.44443,                 0.3573,                0.99807,                0.61655,                0.86667,                0.89478,                0.75658,                 1.0847,                  1.066,                 1.2441,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.36846,                0.31421,                 1.0207,                 0.6922,                0.86667,                0.88608,                0.73856,                 1.0812,                 1.1038,                 1.2415,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.39408,                  0.332,                0.97928,                 0.6922,                0.86667,                0.88608,                0.73856,                 1.0812,                 1.1038,                 1.2415,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.39543,                0.26631,                 1.0688,                0.62264,                    0.7,                0.88581,                 0.7659,                 1.0813,                 1.1355,                 1.2488,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.43889,                0.29553,                 1.0072,                0.62264,                    0.7,                0.88581,                 0.7659,                 1.0813,                 1.1355,                 1.2488,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.49737,                0.40605,                 1.0483,                0.78827,                0.63159,                0.87932,                0.76222,                 1.0971,                 1.1824,                  1.258,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.41524,                0.45072,                 1.0189,                0.78827,                0.63159,                0.87932,                0.76222,                 1.0971,                 1.1824,                  1.258,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.35918,                 0.3963,                0.96976,                0.78827,                0.63159,                0.87932,                0.76222,                 1.0971,                 1.1824,                  1.258,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.36431,                0.32793,                 0.9588,                0.72479,                0.67849,                0.87953,                0.76217,                 1.1025,                 1.2015,                 1.2621,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.46037,                0.31951,                 1.1153,                0.72479,                0.67849,                0.87953,                0.76217,                 1.1025,                 1.2015,                 1.2621,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.37842,                0.26833,                 1.0171,                0.72479,                0.67849,                0.87953,                0.76217,                 1.1025,                 1.2015,                 1.2621,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.59277,                0.35297,                 1.1932,                0.49959,                0.98333,                0.86822,                0.73432,                 1.1051,                  1.228,                  1.266,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.35047,                0.40386,                 1.0508,                0.49959,                0.98333,                0.86822,                0.73432,                 1.1051,                  1.228,                  1.266,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                  0.356,                0.30407,                 1.0417,                0.49959,                0.98333,                0.86822,                0.73432,                 1.1051,                  1.228,                  1.266,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.32651,                0.40428,                0.98413,                0.83968,                0.61667,                0.86822,                0.71699,                 1.1286,                 1.2843,                 1.2799,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.38104,                0.24838,                 1.0146,                0.83968,                0.61667,                0.86822,                0.71699,                 1.1286,                 1.2843,                 1.2799,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.51474,                0.36975,                 1.0801,                0.83968,                0.61667,                0.86822,                0.71699,                 1.1286,                 1.2843,                 1.2799,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.41126,                 0.4241,                 1.0248,                0.86203,                0.61667,                0.86848,                0.71694,                 1.1158,                 1.3135,                 1.2749,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.26037,                 0.2364,                0.84404,                0.86203,                0.61667,                0.86848,                0.71694,                 1.1158,                 1.3135,                 1.2749,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.31754,                0.29304,                0.91809,                0.86203,                0.61667,                0.86848,                0.71694,                 1.1158,                 1.3135,                 1.2749,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.39588,                0.54294,                  1.028,                0.86456,                0.61667,                0.86994,                 0.7208,                 1.1073,                 1.3624,                 1.2695,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.46675,                0.38629,                 1.0291,                0.86456,                0.61667,                0.86994,                 0.7208,                 1.1073,                 1.3624,                 1.2695,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 0.3543,                 0.2408,                0.97452,                0.86456,                0.61667,                0.86994,                 0.7208,                 1.1073,                 1.3624,                 1.2695,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 0.4319,                0.44084,                 1.0839,                0.89838,                0.62412,                0.88519,                 0.7095,                   1.11,                 1.4611,                 1.2637,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.42813,                0.43467,                 1.0422,                0.89838,                0.62412,                0.88519,                 0.7095,                   1.11,                 1.4611,                 1.2637,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.42173,                0.25131,                 1.1087,                0.89838,                0.62412,                0.88519,                 0.7095,                   1.11,                 1.4611,                 1.2637,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.41751,                0.37666,                 1.0199,                0.89421,                0.62248,                 0.8809,                0.72562,                 1.1091,                 1.5656,                  1.258,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.36015,                 0.2608,                0.97545,                0.89421,                0.62248,                 0.8809,                0.72562,                 1.1091,                 1.5656,                  1.258,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 0.6419,                0.56238,                 1.2796,                0.89421,                0.62248,                 0.8809,                0.72562,                 1.1091,                 1.5656,                  1.258,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.56461,                0.35588,                 1.0257,                0.89084,                0.63333,                0.89129,                0.70745,                 1.1655,                 1.6026,                 1.2728,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.46548,                 0.5849,                 1.0291,                0.89084,                0.63333,                0.89129,                0.70745,                 1.1655,                 1.6026,                 1.2728,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.42437,                0.29598,                0.95531,                0.89084,                0.63333,                0.89129,                0.70745,                 1.1655,                 1.6026,                 1.2728,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.31954,                0.29727,                0.93511,                0.89872,                0.62692,                0.89045,                 0.7075,                 1.1772,                 1.6499,                 1.2737,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.51804,                  0.452,                 1.0849,                0.89872,                0.62692,                0.89045,                 0.7075,                 1.1772,                 1.6499,                 1.2737,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.23379,                0.26898,                 0.9484,                0.89872,                0.62692,                0.89045,                 0.7075,                 1.1772,                 1.6499,                 1.2737,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.33664,                0.28624,                 0.9018,                 0.8998,                0.63331,                0.88784,                0.70705,                 1.1713,                 1.6835,                 1.2795,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.22449,                0.25394,                0.81824,                 0.8998,                0.63331,                0.88784,                0.70705,                 1.1713,                 1.6835,                 1.2795,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.34709,                0.26461,                0.90914,                 0.8998,                0.63331,                0.88784,                0.70705,                 1.1713,                 1.6835,                 1.2795,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.49177,                0.43978,                 1.1227,                0.67888,                0.63333,                0.72102,                0.57421,                 1.1712,                 1.6865,                 1.2811,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.32632,                0.33765,                 1.0378,                0.67888,                0.63333,                0.72102,                0.57421,                 1.1712,                 1.6865,                 1.2811,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.41256,                0.32608,                 1.1257,                0.67888,                0.63333,                0.72102,                0.57421,                 1.1712,                 1.6865,                 1.2811,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.29739,                0.28533,                0.95771,                0.67888,                0.63333,                0.72102,                0.57421,                 1.1712,                 1.6865,                 1.2811,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.32332,                0.32621,                0.92555,                0.65138,                0.63333,                0.72285,                0.57274,                 1.1806,                 1.6805,                 1.2859,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.42152,                0.33515,                 1.0503,                0.65138,                0.63333,                0.72285,                0.57274,                 1.1806,                 1.6805,                 1.2859,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.34996,                 0.3109,                0.93625,                0.65138,                0.63333,                0.72285,                0.57274,                 1.1806,                 1.6805,                 1.2859,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.36163,                0.25157,                0.98668,                0.65138,                0.63333,                0.72285,                0.57274,                 1.1806,                 1.6805,                 1.2859,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 0.2133,                0.19605,                0.72361,                0.62599,                0.63333,                0.74259,                0.58078,                 1.1532,                 1.6559,                 1.2842,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.24081,                0.19081,                0.87865,                0.62599,                0.63333,                0.74259,                0.58078,                 1.1532,                 1.6559,                 1.2842,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.27065,                0.20793,                0.95388,                0.62599,                0.63333,                0.74259,                0.58078,                 1.1532,                 1.6559,                 1.2842,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.24942,                0.18552,                0.91098,                0.62599,                0.63333,                0.74259,                0.58078,                 1.1532,                 1.6559,                 1.2842,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.41541,                0.33423,                0.98306,                0.64667,                0.63333,                0.73232,                  0.578,                 1.2228,                 1.7426,                  1.317,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.21559,                0.17983,                 0.7884,                0.64667,                0.63333,                0.73232,                  0.578,                 1.2228,                 1.7426,                  1.317,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.26251,                0.17893,                0.89862,                0.64667,                0.63333,                0.73232,                  0.578,                 1.2228,                 1.7426,                  1.317,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.28337,                0.22652,                0.93412,                0.64667,                0.63333,                0.73232,                  0.578,                 1.2228,                 1.7426,                  1.317,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.18742,                0.15171,                0.82717,                0.64705,                0.63333,                0.75009,                0.57797,                 1.2265,                 1.7333,                 1.3201,             2.3444e-06,             2.3444e-06,             2.3444e-06
